Train Sx Test Sx, standard average reward, tuned average reward
Train S1 Test S1, 15151.18, 12662.78
Train S1 Test S2, -7833.25, -9830.25
Train S1 Test S3, 15481.43, 10779.79
Train S2 Test S1, 10102.27, 6290.56
Train S2 Test S2, 6417.19, 4141.51
Train S2 Test S3, 13215.07, 13350.72
Train S3 Test S1, 1614.08, -1173.67
Train S3 Test S2, -869.69, -6948.69
Train S3 Test S3, 16520.83, 13806.64
